id,name,id_facility_type,description,website_url,deleted_at
23827626-8301-536d-8463-0642b9bdee58,"Ambulancia pediatrickej oftalmológie, Banská Bystrica, (Detská fakultná nemocnica s poliklinikou Banská Bystrica)",bae34606-4558-5c16-a0b3-d3609cb093f5,Import e-VÚC | Identifikátor: 51-37957937-A0057 | Poskytovateľ: Detská fakultná nemocnica s poliklinikou Banská Bystrica | IČO: 37957937 | Odbornosť: pediatrická oftalmológia,,
efc62d9b-c09b-5012-a55e-138fd8a02c9e,"Ambulancia vnútorného lekárstva, MUDr. Čellár Marcel, Banská Bystrica, (Nemocnica AGEL Zvolen a.s.)",6559c87b-2725-5f39-b5fc-3295eb15db10,Import e-VÚC | Identifikátor: 66-45594929-A0096 | Poskytovateľ: Nemocnica AGEL Zvolen a.s. | IČO: 45594929 | Odbornosť: vnútorné lekárstvo,,
cf94a31e-01d9-58e2-a74c-23bb325accdd,"Dermatovenerologická ambulancia, Brusno, (ARACHNAE s.r.o.)",9e2fe32e-c02d-5b7d-8b05-f6c6cff0a9fe,Import e-VÚC | Identifikátor: 66-47355107-A0002 | Poskytovateľ: ARACHNAE s.r.o. | IČO: 47355107 | Odbornosť: dermatovenerológia,,
54696369-4c17-50a5-933c-eb96520f1605,"Ambulancia detskej psychiatrie, MUDr. Monika Šestáková, Banská Bystrica, (PsychCentrum s. r. o.)",d42de79f-6593-50f6-a902-13fd34291f04,Import e-VÚC | Identifikátor: 66-56017987-A0001 | Poskytovateľ: PsychCentrum s. r. o. | IČO: 56017987 | Odbornosť: detská psychiatria,,
db0aa8b8-b4b0-5281-bc66-313dfe4a2020,"Všeobecná ambulancia pre dospelých, MUDr. Ivana Gutzelnig, Banská Bystrica, (Ústredná vojenská nemocnica SNP Ružomberok - FN)",9595ec5e-5edf-59f4-af99-2d895c76145f,Import e-VÚC | Identifikátor: 51-31936415-A0260 | Poskytovateľ: Ústredná vojenská nemocnica SNP Ružomberok - FN | IČO: 31936415 | Odbornosť: všeobecné lekárstvo,,
d81eace2-a15d-5a84-8c59-0b7b435cd447,"Jednodňová zdravotná starostlivosť, chirurgia, Banská Bystrica, (Klinika Rudlová s. r. o.)",59ecdc54-fe75-52af-8703-3ee09a448675,Import e-VÚC | Identifikátor: 66-55563333-A0001 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: chirurgia,,
e03ba9f0-f739-5fdb-9ddb-abfb09cb3e78,"Chirurgická ambulancia, Banská Bystrica, (Corpus Clinic s r.o.)",80ce9710-dbf9-5923-ae00-af88e5505525,Import e-VÚC | Identifikátor: 66-55741134-A0001 | Poskytovateľ: Corpus Clinic s r.o. | IČO: 55741134 | Odbornosť: chirurgia,,
b181b3a7-8047-52f9-830b-d299383bd3ba,"SVaLZ, rádiológia, Banská Bystrica, (Corpus Clinic s r.o.)",833c026a-8cd4-523e-8c59-e112837fa142,Import e-VÚC | Identifikátor: 66-55741134-A0002 | Poskytovateľ: Corpus Clinic s r.o. | IČO: 55741134 | Odbornosť: rádiológia,,
66a6a7eb-00d0-5842-9189-b99c85d9e324,"Reumatologická ambulancia, Banská Bystrica, (NOVAMED, spol. s r.o.)",fd93d484-606c-5fa8-b576-a6183074ee2a,"Import e-VÚC | Identifikátor: 66-31623832-A0047 | Poskytovateľ: NOVAMED, spol. s r.o. | IČO: 31623832 | Odbornosť: reumatológia",,
073136a9-1bf4-564e-9922-b45113f8b0be,"FYZIO KID, Banská Bystrica, (Mgr. Anna Becíková)",833c026a-8cd4-523e-8c59-e112837fa142,Import e-VÚC | Identifikátor: 66-55996558-A0001 | Poskytovateľ: Mgr. Anna Becíková | IČO: 55996558 | Odbornosť: fyzioterapia,,
