id,slug,category,name
4b6966bf-754a-5db1-ad8e-15fabd57ad5b,mudr-zuzana-bencova-lekar,e-vuc,MUDr. Zuzana Benčová (lekár)
baa7782e-7cce-5421-baea-0f5d8b633fc8,mudr-zuzana-konyova,e-vuc,MUDr. Zuzana Kónyová
bc5a9388-b72c-5e4a-83a1-cf21019a0f2f,mudr-zuzana-vitovska-lekar,e-vuc,MUDr. Zuzana Vitovská (lekár)
d623dd6e-e00e-5566-96a7-ab0c17f9ed5b,mudr-lubomir-antalik-lekar,e-vuc,MUDr. Ľubomír Antalík (lekár)
9e9c4858-73f3-51ac-a4e5-7aa89dbfc84c,mudr-lubomir-konya,e-vuc,MUDr. Ľubomír Kónya
a953e0e4-d06c-5768-9ece-15825ce75478,mudr-ludovit-horvath-lekar,e-vuc,MUDr. Ľudovít Horváth (lekár)
fd6032d9-518e-5db3-b559-8de5225e4ccf,mudr-alena-kankova-lekar,e-vuc,MUDr.Alena Kanková (lekár)
5487398d-8fc1-5c5d-bea8-3fbd5fc43712,mudr-andrea-francistyova-lekar,e-vuc,MUDr.Andrea Francistyová (lekár)
dec2684d-c7a8-5199-a415-e06bc8cbb6f3,mudr-balcercik-milos-lekar,e-vuc,MUDr.Balcerčík Miloš (lekár)
0991a2bf-1955-5c0e-a562-25327c15b53f,mudr-juraj-hrasko-lekar,e-vuc,MUDr.Juraj Hraško (lekár)
8110db04-cb5e-5d31-83ed-5de9694cfe5f,mudr-kosik-miroslav-lekar,e-vuc,MUDr.Košík Miroslav (lekár)
19971b07-de06-544d-9ed6-50bdc3b94959,mudr-kulaviak-richard-mph-lekar,e-vuc,"MUDr.Kulaviak Richard, MPH (lekár)"
ee9101d2-cd27-5786-958c-b6ff6dc98ffd,mudr-muchova-julia-silvia-lekar,e-vuc,MUDr.Muchová Júlia Silvia (lekár)
8213dd40-d392-540c-984b-95041dfe8071,mudr-peter-vanek-lekar,e-vuc,MUDr.Peter Vaněk (lekár)
62100655-5ed6-5a68-b0c8-7315ea4d691d,magda-kapusnakova-sestra,e-vuc,Magda Kapusňáková (sestra)
7eb51623-c82a-5c98-b1c4-f349f7a70c49,magdalena-slobodnikova-sestra,e-vuc,Magdaléna Slobodníková (sestra)
4a96659b-a6b6-5b9e-8153-ed142c939b98,mariana-daxnerova-sestra,e-vuc,Mariana Daxnerová (sestra)
345b0d39-54a5-545f-b378-6a28eb54247f,marjena-dakic-lekar,e-vuc,Marjena Dakić (lekár)
556351ba-3d23-5f6c-b420-11c19156718e,markova-dana-sestra,e-vuc,Marková Dana (sestra)
f6efc7ba-96a2-56a8-9f48-d588cf026e1b,marta-turnova-sestra,e-vuc,Marta Turňová (sestra)
90908f84-740c-5b02-9404-405e314a957f,mgr-blanka-kolenova-logoped,e-vuc,Mgr Blanka Kolenová (logopéd)
5d349403-49d4-5580-8814-3e1662a7b0cf,mgr-alena-liptakova-sestra,e-vuc,Mgr. Alena Liptáková (sestra)
02d6b1a4-e96f-5c79-a92b-8f37a4de82c2,mgr-anna-babelova-sestra,e-vuc,Mgr. Anna Babeľová (sestra)
96d5354b-c12f-556c-a0ed-9307766927c4,mgr-anna-chrapciakova-sestra,e-vuc,Mgr. Anna Chrapčiaková (sestra)
94b398c1-462d-5421-83c8-729ff647f169,mgr-anna-durjancikova-sestra,e-vuc,Mgr. Anna Durjančíková (sestra)
c2b98a57-80c4-51af-bd6b-b56c7696f3e0,mgr-beata-sihelska-mph-sestra,e-vuc,"Mgr. Beáta Sihelská, MPH. (sestra)"
e8d1f90d-48fa-5b18-91af-c0c533fea6bd,mgr-bianka-skalosova-sestra,e-vuc,Mgr. Bianka Skalošová (sestra)
2a01d962-0921-5901-be49-fe939450e8ba,mgr-bolcova-andrea-dentalna-hygienicka,e-vuc,Mgr. Bolčova Andrea (dentálna hygienička)
5e4b59a7-f942-53db-9f5f-f8d9069ff788,mgr-bozena-makova-mha-sestra,e-vuc,Mgr. Božena Maková MHA (sestra)
e78f1134-8c1b-5fb3-8f82-8a8da651e94b,mgr-danka-hajkova-sestra,e-vuc,Mgr. Danka Hajkova (sestra)
6d396bd0-090a-5848-93d8-4c613439160b,mgr-danka-kubanikova-sestra,e-vuc,Mgr. Danka Kubaníková (sestra)
4b211086-31d1-5c2c-852e-0a80614bd2a7,mgr-elena-budacova-sestra,e-vuc,Mgr. Elena Budáčová (sestra)
d5f9c8ed-0e0e-5da2-be85-9e1c6d9c2e95,mgr-jana-bachledova-sestra,e-vuc,Mgr. Jana Bachledová (sestra)
913c7e2b-b21f-5478-ba73-010510d4b44a,mgr-jana-bradnanova-sestra,e-vuc,Mgr. Jana Brádňanová (sestra)
0d193446-58b7-5bad-bd0e-5663e3ea1850,mgr-jana-messerschmidtova,e-vuc,Mgr. Jana Messerschmidtová
04ed96f4-70ff-5b28-9a85-6eeeafc7901e,mgr-jaroslav-straka-sestra,e-vuc,Mgr. Jaroslav Straka (sestra)
d8ce0241-75cb-5a9b-881c-58e574781de5,mgr-katarina-szilardiova-sestra,e-vuc,Mgr. Katarína Szilárdiová (sestra)
d190534f-6d94-5a82-8827-e8ff84b2abc1,mgr-martina-kulichova-sestra,e-vuc,Mgr. Martina Kulichová (sestra)
735dc88a-38a1-5ef3-b2db-c8d09a042aec,mgr-michaela-longauerova-sestra,e-vuc,Mgr. Michaela Longauerová (sestra)
e5c63db3-79c8-5e7e-8e2f-e15030a6b971,mgr-michaela-zuffova-sestra,e-vuc,Mgr. Michaela Žuffová (sestra)
b40c92cb-6c89-5a40-af95-ef3412dde5ae,mgr-miroslava-malikova,e-vuc,Mgr. Miroslava Máliková
abd9d4c5-c207-5004-9a8f-331e719e3330,mgr-nadezda-pavlovicova-sestra,e-vuc,Mgr. Nadežda Pavlovičová (sestra)
55b5580b-43c0-5775-afb0-623bc06c7b82,mgr-natalia-trnkova-holekova-sestra,e-vuc,Mgr. Natália Trnková Holeková (sestra)
af5e2bf1-0514-5df7-8651-8dbd71528be4,mgr-petra-vajcikova-sestra,e-vuc,Mgr. Petra Vajcíková (sestra)
f3adf137-da63-580b-b9c7-3fbf5fa70aa3,mgr-rastislav-koren-sestra,e-vuc,Mgr. Rastislav Koreň (sestra)
80b37473-ad55-5172-b643-aa271d43e64d,mgr-viera-zelnicka-sestra,e-vuc,Mgr. Viera Zelnická (sestra)
087b1aa0-db60-5195-8743-25ac325b8163,mgr-vlasta-hrnciarova-sestra,e-vuc,Mgr. Vlasta Hrnčiarová (sestra)
